Unnamed: 0.1,nflId,height,weight,birthDate,collegeName,Position,displayName,num_punts,normalPuntRatio,caughtRatio,groundRatio,kickTeamTouchedFirstRatio,outOfBoundsRatio,outOfEZRatio,intendedDirectionRatio,meanHangTime,maxHangTime
0,45296,6-0,205,1994-07-25,Arizona State,P,Matt Haack,214.0,0.7089201877934272,0.6431924882629108,0.136150234741784,0.0046948356807511,0.0328638497652582,0.0046948356807511,0.9483568075117372,4.389530516431925,5.56
1,46903,6-0,208,1996-09-13,New Mexico,P,Corey Bojorquez,161.0,0.6981132075471698,0.5157232704402516,0.0880503144654088,0.0440251572327044,0.1132075471698113,0.0377358490566037,0.9685534591194968,4.438867924528302,5.51
2,53146,6-5,190,1997-04-07,South Carolina,P,Joseph Charlton,43.0,0.6976744186046512,0.6976744186046512,0.0,0.0,0.0465116279069767,0.0465116279069767,1.0,4.544418604651162,5.3
3,34615,6-4,235,1986-03-08,Southern Methodist,P,Thomas Morstead,156.0,0.8653846153846154,0.7115384615384616,0.0448717948717948,0.0,0.0576923076923076,0.0,0.9294871794871796,4.403974358974359,5.23
4,41420,6-4,212,1991-02-22,Miami,P,Pat O'Donnell,196.0,0.3402061855670103,0.6804123711340206,0.056701030927835,0.0206185567010309,0.0103092783505154,0.0051546391752577,0.9536082474226804,4.278238341968912,5.05
5,46241,6-6,208,1995-10-30,Alabama,P,J.K. Scott,191.0,0.7936507936507936,0.6084656084656085,0.0793650793650793,0.0052910052910052,0.0687830687830687,0.0105820105820105,0.9788359788359788,4.511481481481481,5.52
6,46242,6-1,205,1995-02-14,Florida,P,Johnny Townsend,72.0,0.8472222222222222,0.6944444444444444,0.0833333333333333,0.0138888888888888,0.0416666666666666,0.0,0.9861111111111112,4.284027777777777,5.01
7,34593,6-1,211,1985-07-16,Cincinnati,P,Kevin Huber,201.0,0.84,0.685,0.08,0.015,0.01,0.01,0.98,4.2577,5.1
8,42333,6-5,195,1991-03-18,Eastern Kentucky,P,Jordan Berry,186.0,0.7473118279569892,0.6774193548387096,0.053763440860215,0.0,0.0376344086021505,0.032258064516129,0.9946236559139784,4.423602150537635,5.43
9,48139,6-1,207,1997-07-04,Arkansas-Pine Bluff,P,Jamie Gillan,104.0,0.7961165048543689,0.6893203883495146,0.0194174757281553,0.0,0.0679611650485436,0.0,0.941747572815534,4.441844660194175,5.38
10,48258,6-2,224,1996-09-01,Rice,P,Jack Fox,56.0,0.7678571428571429,0.6071428571428571,0.1071428571428571,0.0,0.0178571428571428,0.0357142857142857,0.9821428571428572,4.541964285714285,5.43
11,34723,6-3,210,1985-03-20,Tennessee,P,Britton Colquitt,183.0,0.7988826815642458,0.6815642458100558,0.0726256983240223,0.0111731843575419,0.0391061452513966,0.0111731843575419,0.9608938547486032,4.359553072625698,5.21
12,42663,6-2,205,1993-04-06,Alabama-Birmingham,P,Ty Long,105.0,0.8137254901960784,0.7647058823529411,0.0686274509803921,0.0,0.0196078431372549,0.0196078431372549,0.9803921568627452,4.137941176470588,5.06
13,52791,6-2,176,1996-11-12,Florida,P,Tommy Townsend,41.0,0.7073170731707317,0.5609756097560976,0.1219512195121951,0.0,0.048780487804878,0.024390243902439,1.0,4.474878048780488,5.69
14,47946,6-2,205,1997-06-18,Stanford,P,Jake Bailey,125.0,0.704,0.528,0.064,0.032,0.104,0.016,1.0,4.3837600000000005,5.28
15,52599,5-11,190,1997-11-24,Texas A&M,P,Braden Mann,77.0,0.6363636363636364,0.7272727272727273,0.0909090909090909,0.0,0.0519480519480519,0.0,0.922077922077922,4.385454545454546,5.43
16,43517,6-4,221,1993-08-24,Syracuse,P,Riley Dixon,200.0,0.7461928934010152,0.5714285714285714,0.0918367346938775,0.0051020408163265,0.0255102040816326,0.010204081632653,0.9187817258883249,4.316326530612245,5.35
17,50975,6-5,243,,,P,Hunter Niswander,20.0,0.95,0.9,0.0,0.0,0.0,0.0,1.0,4.503,5.07
18,45603,5-11,194,1992-02-24,Ohio State,P,Cameron Johnston,188.0,0.4598930481283422,0.679144385026738,0.0855614973262032,0.0,0.0267379679144385,0.0106951871657754,0.9786096256684492,4.2339037433155084,5.17
19,40600,6-1,220,1990-04-18,Oklahoma,P,Tress Way,219.0,0.821917808219178,0.7031963470319634,0.0730593607305936,0.0,0.0136986301369863,0.0,0.9908675799086758,4.3851141552511415,5.11
20,42508,6-5,240,1994-06-01,Clemson,P,Bradley Pinion,169.0,0.6190476190476191,0.6845238095238095,0.0714285714285714,0.0059523809523809,0.0357142857142857,0.0,0.9464285714285714,4.4375,5.07
21,52636,5-9,199,1996-12-05,Syracuse,P,Sterling Hofrichter,50.0,0.64,0.8,0.04,0.0,0.06,0.0,0.98,4.3946,5.21
22,48335,6-4,220,1995-11-27,North Carolina State,P,A.J. Cole,107.0,0.411214953271028,0.6448598130841121,0.0654205607476635,0.0186915887850467,0.0373831775700934,0.0186915887850467,0.9626168224299064,4.310373831775701,5.12
23,40113,6-1,211,1990-02-27,Appalachian State,P,Sam Martin,203.0,0.6386138613861386,0.6534653465346535,0.0693069306930693,0.0099009900990099,0.0643564356435643,0.0049504950495049,0.99009900990099,4.237722772277228,5.09
24,38600,6-3,205,1988-10-06,California,P,Bryan Anger,151.0,0.7866666666666666,0.6866666666666666,0.0933333333333333,0.0066666666666666,0.0133333333333333,0.02,0.98,4.408066666666667,5.21
25,33338,6-2,214,1986-02-17,Toledo,P,Brett Kern,184.0,0.6939890710382514,0.6120218579234973,0.0327868852459016,0.0218579234972677,0.1530054644808743,0.0163934426229508,0.9726775956284152,4.217868852459016,4.85
26,45153,6-0,195,1994-09-08,Hawaii,P,Rigoberto Sanchez,156.0,0.5483870967741935,0.6193548387096774,0.0709677419354838,0.0451612903225806,0.0516129032258064,0.0,0.9483870967741936,4.353701298701299,5.08
27,46316,6-5,200,1995-07-28,Mississippi State,P,Logan Cooke,207.0,0.8115942028985508,0.5748792270531401,0.0676328502415458,0.0096618357487922,0.0531400966183574,0.0193236714975845,0.9806763285024156,4.366135265700483,5.42
28,29141,6-1,185,1982-08-11,Pittsburgh,P,Andy Lee,207.0,0.7864077669902912,0.6796116504854369,0.0728155339805825,0.0048543689320388,0.0436893203883495,0.0145631067961165,0.9854368932038836,4.302087378640777,5.09
29,38815,6-5,241,1990-02-08,Oregon State,P,Johnny Hekker,175.0,0.7225433526011561,0.5317919075144508,0.0982658959537572,0.0057803468208092,0.0520231213872832,0.0057803468208092,0.9653179190751444,4.319011627906977,5.15
30,47893,6-2,220,1992-03-02,Utah,P,Mitch Wishnowsky,109.0,0.5321100917431193,0.6697247706422018,0.1009174311926605,0.0091743119266055,0.018348623853211,0.0,0.9541284403669724,4.367614678899082,4.88
31,46218,6-2,208,1996-01-04,Texas,P,Michael Dickson,195.0,0.6649484536082474,0.6185567010309279,0.0773195876288659,0.0103092783505154,0.0824742268041237,0.0154639175257731,0.979381443298969,4.310777202072539,5.17
32,31018,6-1,222,1982-08-13,Nebraska,P,Sam Koch,152.0,0.4666666666666667,0.62,0.0866666666666666,0.0066666666666666,0.08,0.0066666666666666,0.96,4.2649333333333335,4.94
33,29926,6-3,210,1982-05-06,Tennessee,P,Dustin Colquitt,104.0,0.7087378640776699,0.6407766990291263,0.116504854368932,0.0194174757281553,0.0097087378640776,0.0097087378640776,0.9611650485436892,4.361553398058253,5.16
34,40437,6-2,220,1990-02-28,Louisiana Tech,P,Ryan Allen,104.0,0.6538461538461539,0.5096153846153846,0.1346153846153846,0.0288461538461538,0.0576923076923076,0.0384615384615384,0.971153846153846,4.021634615384615,5.27
35,46810,6-1,231,12/08/1994,Tennessee,P,Trevor Daniel,87.0,0.7093023255813954,0.6627906976744186,0.0697674418604651,0.0116279069767441,0.0581395348837209,0.0116279069767441,0.9651162790697676,4.201976744186046,5.03
36,38138,6-0,205,1989-07-21,Carson-Newman,P,Chris Jones,127.0,0.8492063492063492,0.6746031746031746,0.1111111111111111,0.0,0.0158730158730158,0.0,0.9444444444444444,4.458015873015873,5.11
37,43524,6-4,209,1992-04-27,Sam Houston State,P,Lachlan Edwards,164.0,0.6280487804878049,0.5792682926829268,0.1158536585365853,0.0121951219512195,0.073170731707317,0.0060975609756097,0.9390243902439024,4.1657926829268295,4.97
38,42098,5-11,200,1992-07-06,Tennessee,P,Michael Palardy,127.0,0.8346456692913385,0.6692913385826772,0.0787401574803149,0.0314960629921259,0.0314960629921259,0.0157480314960629,0.9606299212598424,4.389365079365079,5.11
39,45986,6-1,213,04/19/1995,California-Davis,P,Colby Wadman,133.0,0.4135338345864661,0.556390977443609,0.0827067669172932,0.0150375939849624,0.0977443609022556,0.0150375939849624,0.9849624060150376,4.326616541353383,5.29
40,42133,6-1,205,09/26/1991,Wofford,P,Kasey Redfern,9.0,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,1.0,4.408888888888889,4.91
41,46790,6-5,217,1994-04-30,Pittsburgh,P,Ryan Winslow,6.0,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,4.146666666666667,4.57
42,42907,6-2,225,06/20/1992,Michigan,P,Matt Wile,69.0,0.8823529411764706,0.6176470588235294,0.0588235294117647,0.0,0.0441176470588235,0.0147058823529411,0.9558823529411764,4.406029411764706,5.35
43,37267,72,208,1987-10-18,Miami (Fla.),P,Matt Bosher,71.0,0.7647058823529411,0.75,0.0588235294117647,0.0,0.0,0.0,0.8823529411764706,4.478529411764706,5.3
44,42747,6-1,217,07/02/1992,Tennessee,P,Matt Darr,20.0,0.9,0.6,0.05,0.05,0.0,0.0,0.8,3.9615,5.03
45,29177,6-2,221,07/05/1980,LSU,P,Donnie Jones,44.0,0.6818181818181818,0.6363636363636364,0.0909090909090909,0.0,0.0,0.0,0.9772727272727272,4.174090909090909,4.94
46,40946,5-11,224,10/27/1990,California-Davis,P,Colton Schmidt,16.0,0.875,0.5625,0.0625,0.0,0.0625,0.0,1.0,3.69875,4.69
47,43468,6-2,206,02/11/1993,Texas A&M,P,Drew Kaser,12.0,0.8181818181818182,0.5454545454545454,0.1818181818181818,0.0,0.0,0.0,0.7272727272727273,4.177272727272727,4.69
48,39113,6-0,195,10/26/1988,Fort Valley State,P,Marquette King,14.0,0.7857142857142857,0.5,0.2142857142857142,0.0714285714285714,0.0,0.0,1.0,3.917857142857143,4.79
